method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
proposed_mechanism_retrieval_controller_v4,heldout_mechanism,0.6912760417,0.0036243254,0.7371641080,0.0038899892,0.6217649687,0.0005118597,0.1065937919,0.0005300689,0.5849350923,0.0009118738,0.0567738692,0.0004581213,0.2313212254,0.0001986302,0.1027386840,0.0004342103,0.0614109057,0.0002008387,0.7180407800,0.0005214083,800,96
proposed_mechanism_retrieval_controller_v4,heldout_object,0.7036718750,0.0035871518,0.7571657932,0.0038263623,0.6264451263,0.0005163950,0.1024330261,0.0005103447,0.5886221216,0.0009220132,0.0541421031,0.0004522939,0.2286203125,0.0001886229,0.0963573080,0.0004410207,0.0583856647,0.0001998646,0.7271122485,0.0005137153,800,96
proposed_mechanism_retrieval_controller_v4,seen_corpus,0.7164713542,0.0035344921,0.7789392610,0.0037770861,0.6321448050,0.0005067033,0.0979948390,0.0005279238,0.5931980806,0.0009333316,0.0510382269,0.0004537380,0.2254500423,0.0001887891,0.0883009923,0.0004470000,0.0548524199,0.0002101138,0.7378939391,0.0005148378,800,96
proposed_mechanism_retrieval_controller_v4,sparse_corpus,0.6807942708,0.0037255265,0.7159123598,0.0040093038,0.6151706400,0.0005057250,0.1135752106,0.0005179998,0.5801800651,0.0009156382,0.0600089716,0.0004556517,0.2354167615,0.0001898457,0.1111341933,0.0004442947,0.0663212809,0.0002054278,0.7032488036,0.0005180837,800,96
proposed_mechanism_retrieval_controller_v4,stale_memory,0.6797916667,0.0038038620,0.7073461402,0.0040733482,0.6098388475,0.0005193125,0.1211198435,0.0005243019,0.5781434505,0.0009376818,0.0613587728,0.0004567411,0.2388449292,0.0001866389,0.1147398408,0.0004343800,0.0707418837,0.0002079162,0.6893409322,0.0005130296,800,96
proposed_mechanism_retrieval_controller_v4,visually_aliased,0.6779687500,0.0037414870,0.7089604108,0.0040209672,0.6123348787,0.0005278276,0.1145286126,0.0005223269,0.5774571636,0.0009139335,0.0616405479,0.0004471111,0.2365142212,0.0001916646,0.1160095136,0.0004507754,0.0676875691,0.0001998957,0.6994690035,0.0005110526,800,96
retrieved_context_behavior_clone,combined_stress,0.5275781250,0.0048423451,0.3770345354,0.0054935344,0.4655228787,0.0005279883,0.2938918239,0.0008458982,0.4312190662,0.0009025504,0.1094276377,0.0005095640,0.2291719387,0.0002205757,0.1834430639,0.0004599308,0.1180299029,0.0002054206,0.6484795559,0.0005353960,800,96
retrieved_context_behavior_clone,cross_embodiment,0.5688932292,0.0046713254,0.4414442416,0.0052946949,0.4763680288,0.0005161721,0.2713177572,0.0008343383,0.4388737260,0.0009071317,0.1031971886,0.0004993996,0.2223413448,0.0002150310,0.1701983920,0.0004608557,0.1101074604,0.0001978879,0.6731784669,0.0005414274,800,96
retrieved_context_behavior_clone,heldout_mechanism,0.5871484375,0.0044896633,0.4691245969,0.0050829130,0.4807700788,0.0005130158,0.2626071711,0.0008490007,0.4424831115,0.0009387004,0.1005981464,0.0005049847,0.2197569769,0.0002085527,0.1642420867,0.0004569827,0.1070714972,0.0002018882,0.6823952310,0.0005378279,800,96
retrieved_context_behavior_clone,heldout_object,0.6062890625,0.0042219819,0.4987424429,0.0047410658,0.4853865800,0.0005241535,0.2530289019,0.0008504294,0.4462085534,0.0009213804,0.0974234600,0.0004977568,0.2170018894,0.0001987282,0.1575198266,0.0004537468,0.1037822199,0.0002083246,0.6918103123,0.0005294458,800,96
retrieved_context_behavior_clone,seen_corpus,0.6357161458,0.0041945962,0.5409014956,0.0046886271,0.4909009162,0.0004977214,0.2416952185,0.0008574576,0.4512432136,0.0009104876,0.0935557184,0.0004813210,0.2136244527,0.0002047113,0.1493191870,0.0004688184,0.1001642672,0.0002066856,0.7029850452,0.0005485639,800,96
retrieved_context_behavior_clone,sparse_corpus,0.5578125000,0.0047044578,0.4250936240,0.0053407989,0.4740047312,0.0005268691,0.2766477659,0.0008486816,0.4373275032,0.0008986879,0.1046610061,0.0005190826,0.2238630875,0.0002188314,0.1731148694,0.0004391327,0.1119990143,0.0002131528,0.6672283775,0.0005318936,800,96
retrieved_context_behavior_clone,stale_memory,0.5497005208,0.0045805030,0.4078370849,0.0052353882,0.4689138612,0.0005164733,0.2870214188,0.0008707231,0.4349950766,0.0009165460,0.1063650224,0.0005097743,0.2276216027,0.0002105157,0.1765005725,0.0004567382,0.1164030515,0.0002056811,0.6530875988,0.0005411313,800,96
retrieved_context_behavior_clone,visually_aliased,0.5442968750,0.0047667700,0.4049370814,0.0054247005,0.4714417512,0.0005249600,0.2820460052,0.0008468394,0.4343541298,0.0009198456,0.1068380116,0.0005071368,0.2253621825,0.0002124522,0.1780904609,0.0004540424,0.1134182586,0.0002039668,0.6631794948,0.0005263941,800,96
state_nearest_memory,combined_stress,0.4949218750,0.0049549205,0.3254474175,0.0056516026,0.4486591687,0.0005389289,0.3203308068,0.0009032128,0.4088198105,0.0009084569,0.1149129565,0.0005226943,0.2086620212,0.0002136761,0.1940383447,0.0004598139,0.1265315979,0.0002108855,0.6257135451,0.0005393384,800,96
state_nearest_memory,cross_embodiment,0.5402734375,0.0045609244,0.3945381626,0.0051967056,0.4596838162,0.0005179835,0.2968103995,0.0008844489,0.4169147035,0.0009351807,0.1086505498,0.0005206815,0.2017017694,0.0002057192,0.1807156683,0.0004487186,0.1185208664,0.0002151038,0.6505361413,0.0005450396,800,96
state_nearest_memory,heldout_mechanism,0.5629036458,0.0043725233,0.4271960742,0.0049476138,0.4639391550,0.0005163394,0.2872830863,0.0008892246,0.4208436820,0.0009453009,0.1055825754,0.0004955921,0.1991958765,0.0002097222,0.1750632376,0.0004558574,0.1154089594,0.0002067545,0.6594962322,0.0005410970,800,96
state_nearest_memory,heldout_object,0.5835286458,0.0044014300,0.4588618758,0.0049775225,0.4685668125,0.0005180781,0.2768083303,0.0008999369,0.4248392709,0.0009285269,0.1024882800,0.0004973211,0.1962597065,0.0002141792,0.1680420180,0.0004600656,0.1120801045,0.0002030041,0.6688323002,0.0005581989,800,96
state_nearest_memory,seen_corpus,0.6156770833,0.0040703110,0.5039488840,0.0045851184,0.4740233200,0.0005274580,0.2647171657,0.0008927515,0.4293698779,0.0009384754,0.0985012504,0.0004931523,0.1929769658,0.0002017642,0.1599934247,0.0004592228,0.1086278497,0.0002113544,0.6801848957,0.0005341986,800,96
state_nearest_memory,sparse_corpus,0.5327994792,0.0046357062,0.3818764717,0.0052975009,0.4572137075,0.0004823296,0.3022560951,0.0008956848,0.4155377604,0.0009167714,0.1098541885,0.0005093835,0.2033598573,0.0002041526,0.1836433046,0.0004632487,0.1201508863,0.0002098731,0.6443194359,0.0005458784,800,96
state_nearest_memory,stale_memory,0.5188411458,0.0047591536,0.3585035706,0.0054372351,0.4517501137,0.0005314492,0.3129694031,0.0008866962,0.4131533884,0.0009299064,0.1117075663,0.0005014878,0.2068904077,0.0002163908,0.1871824171,0.0004738062,0.1248583479,0.0002146929,0.6302156249,0.0005398563,800,96
state_nearest_memory,visually_aliased,0.5119010417,0.0047110899,0.3539394023,0.0054065224,0.4546804162,0.0005157536,0.3083758037,0.0008857466,0.4127088944,0.0009335987,0.1121747850,0.0005111753,0.2047424192,0.0002153275,0.1888758311,0.0004719288,0.1218645329,0.0002062876,0.6401865751,0.0005357930,800,96
test_time_retrieval_adaptation,combined_stress,0.5898307292,0.0042278443,0.5259157875,0.0046639415,0.5466633075,0.0005031155,0.1793468531,0.0006350207,0.5181647464,0.0009389317,0.0803121816,0.0004638788,0.3004689048,0.0001932635,0.1497545030,0.0004641603,0.0851619372,0.0001975618,0.5718072634,0.0005260430,800,96
test_time_retrieval_adaptation,cross_embodiment,0.6166015625,0.0039825101,0.5717857227,0.0043916359,0.5577017887,0.0005208836,0.1643346710,0.0006419023,0.5258005978,0.0009359506,0.0750157476,0.0004617274,0.2937446969,0.0002073639,0.1365807394,0.0004634060,0.0772632510,0.0002025887,0.5961483878,0.0005217969,800,96
test_time_retrieval_adaptation,heldout_mechanism,0.6270312500,0.0039231688,0.5900612596,0.0042621963,0.5619539075,0.0005267864,0.1585263829,0.0006287030,0.5292109978,0.0009507008,0.0725764093,0.0004677495,0.2911080813,0.0002010083,0.1311031593,0.0004456322,0.0742469871,0.0002061859,0.6050333146,0.0005287663,800,96
test_time_retrieval_adaptation,heldout_object,0.6450911458,0.0039029502,0.6167196218,0.0042543102,0.5665751863,0.0005135843,0.1527484411,0.0006163296,0.5331058546,0.0009666211,0.0695241640,0.0004695703,0.2884452090,0.0001921107,0.1247917145,0.0004417745,0.0712381713,0.0002060951,0.6141834684,0.0005088709,800,96
test_time_retrieval_adaptation,seen_corpus,0.6633333333,0.0038677992,0.6451046244,0.0042052364,0.5718843700,0.0005064487,0.1457620510,0.0006443903,0.5375731020,0.0009513094,0.0662992511,0.0004610127,0.2852865133,0.0001989289,0.1165996465,0.0004618725,0.0675118078,0.0002086151,0.6251638215,0.0005127547,800,96
test_time_retrieval_adaptation,sparse_corpus,0.6094010417,0.0039679941,0.5601904452,0.0043635387,0.5551543562,0.0005358788,0.1679604450,0.0006082227,0.5240598532,0.0009403514,0.0761214649,0.0004682115,0.2952757729,0.0002035482,0.1396089527,0.0004405579,0.0791086521,0.0001969624,0.5903006618,0.0005338796,800,96
test_time_retrieval_adaptation,stale_memory,0.6020572917,0.0040752759,0.5448913411,0.0045041434,0.5499575937,0.0004881009,0.1764171223,0.0006236065,0.5224415045,0.0009074959,0.0776395861,0.0004737598,0.2987605417,0.0001978759,0.1431551884,0.0004515132,0.0835041690,0.0002047042,0.5759157752,0.0005151349,800,96
test_time_retrieval_adaptation,visually_aliased,0.5985677083,0.0043025433,0.5442737634,0.0047743745,0.5524883537,0.0005188180,0.1705216504,0.0006304102,0.5214854547,0.0009484173,0.0781275043,0.0004727727,0.2965806071,0.0002144861,0.1444808711,0.0004470435,0.0806334489,0.0002033439,0.5861647943,0.0005318848,800,96
uncertainty_gated_retrieval,combined_stress,0.5242057292,0.0044644247,0.4149417840,0.0050210221,0.4966494913,0.0004916248,0.2245703901,0.0007246044,0.4739136876,0.0009148162,0.0926322442,0.0004910732,0.2862387910,0.0002050576,0.1666003262,0.0004558759,0.0988685225,0.0002045293,0.5248621159,0.0005185367,800,96
uncertainty_gated_retrieval,cross_embodiment,0.5574348958,0.0042141018,0.4687922198,0.0047302439,0.5074439525,0.0004959770,0.2065279465,0.0007372368,0.4814290869,0.0008992843,0.0869703956,0.0004795659,0.2795296915,0.0002050358,0.1533930490,0.0004584597,0.0910418846,0.0002052238,0.5494462044,0.0005376391,800,96
uncertainty_gated_retrieval,heldout_mechanism,0.5738020833,0.0042271093,0.4934908089,0.0046923734,0.5119176475,0.0005317663,0.1997057653,0.0007062957,0.4846063045,0.0009142663,0.0845232086,0.0004737781,0.2769049121,0.0002113415,0.1477005060,0.0004530098,0.0879542847,0.0002029414,0.5587264009,0.0005439583,800,96
uncertainty_gated_retrieval,heldout_object,0.5890755208,0.0041699254,0.5182771144,0.0046234735,0.5170538463,0.0005255111,0.1922008046,0.0007053731,0.4884462118,0.0009108238,0.0816059007,0.0004869174,0.2741640615,0.0001956040,0.1408762094,0.0004331497,0.0847933441,0.0002076158,0.5679954494,0.0005315602,800,96
uncertainty_gated_retrieval,seen_corpus,0.6125520833,0.0039876331,0.5530042214,0.0043522909,0.5223004238,0.0005078871,0.1834824165,0.0007283447,0.4933141742,0.0009341876,0.0778685629,0.0004749706,0.2707926971,0.0001969906,0.1332335486,0.0004451432,0.0811475049,0.0002120416,0.5789789089,0.0005293343,800,96
uncertainty_gated_retrieval,sparse_corpus,0.5518489583,0.0043346108,0.4583882457,0.0048267929,0.5049880013,0.0005213055,0.2109154623,0.0007220622,0.4795955838,0.0009185688,0.0882071124,0.0004869099,0.2811749183,0.0002090853,0.1562393503,0.0004450477,0.0929236724,0.0001962391,0.5437024124,0.0005387731,800,96
uncertainty_gated_retrieval,stale_memory,0.5438020833,0.0043874554,0.4417110533,0.0048763443,0.4999475575,0.0005138467,0.2204387442,0.0007350836,0.4772908202,0.0009211359,0.0898195158,0.0004847133,0.2844813971,0.0002071085,0.1599752837,0.0004621039,0.0970580762,0.0002058292,0.5296855249,0.0005187054,800,96
uncertainty_gated_retrieval,visually_aliased,0.5388802083,0.0043022310,0.4397391611,0.0048227801,0.5022900263,0.0005169240,0.2145564030,0.0007127967,0.4767588259,0.0009073596,0.0902609420,0.0004774197,0.2824434196,0.0002117054,0.1612063393,0.0004610755,0.0943019674,0.0001988329,0.5396410129,0.0005469782,800,96
visual_nearest_retrieval,combined_stress,0.4489973958,0.0051977511,0.2428236637,0.0059957459,0.4206948775,0.0005161669,0.3638435774,0.0009980293,0.3815686735,0.0009223941,0.1258042035,0.0005312458,0.1971322165,0.0002245237,0.2085619149,0.0004710889,0.1389581922,0.0002093524,0.6008008456,0.0005331975,800,96
visual_nearest_retrieval,cross_embodiment,0.5029166667,0.0050175280,0.3225074522,0.0057931307,0.4315954937,0.0005113312,0.3367467972,0.0009983390,0.3898222871,0.0009306790,0.1189790233,0.0005226361,0.1901714467,0.0002198661,0.1950245797,0.0004720124,0.1310021650,0.0002162840,0.6255771367,0.0005387633,800,96
visual_nearest_retrieval,heldout_mechanism,0.5259765625,0.0047363684,0.3559869430,0.0054052277,0.4355203800,0.0005164878,0.3259379271,0.0009986578,0.3931505100,0.0009335785,0.1160096518,0.0005089636,0.1876604869,0.0002155612,0.1891064475,0.0004679781,0.1281033181,0.0001977297,0.6349191148,0.0005542789,800,96
visual_nearest_retrieval,heldout_object,0.5484114583,0.0045533333,0.3901774276,0.0052188677,0.4404361312,0.0005196652,0.3139760691,0.0009864247,0.3972061013,0.0009445192,0.1128271123,0.0005153004,0.1849725221,0.0002076092,0.1820017633,0.0004681115,0.1248666346,0.0002001429,0.6445320814,0.0005458583,800,96
visual_nearest_retrieval,seen_corpus,0.5838411458,0.0043534886,0.4397743202,0.0049685428,0.4461278563,0.0005325311,0.2997855460,0.0010023368,0.4017127371,0.0009259518,0.1087048576,0.0005117693,0.1812794190,0.0002007381,0.1738134503,0.0004631624,0.1211139137,0.0002117412,0.6561338507,0.0005444571,800,96
visual_nearest_retrieval,sparse_corpus,0.4869401042,0.0049977472,0.3005921799,0.0057559402,0.4289508838,0.0005230331,0.3430516714,0.0009874878,0.3882407715,0.0009427802,0.1204111101,0.0005267039,0.1921589273,0.0002286533,0.1981049513,0.0004540964,0.1330438817,0.0002035496,0.6195253704,0.0005540768,800,96
visual_nearest_retrieval,stale_memory,0.4810156250,0.0050325506,0.2847650340,0.0058016383,0.4237516012,0.0005245282,0.3546769095,0.0009855928,0.3854409694,0.0009296948,0.1224320574,0.0005399984,0.1955026862,0.0002165309,0.2015434635,0.0004463137,0.1375040231,0.0002177250,0.6056490785,0.0005577065,800,96
visual_nearest_retrieval,visually_aliased,0.4712890625,0.0051103894,0.2774056087,0.0058683117,0.4263785150,0.0005000488,0.3500731495,0.0009987288,0.3849560735,0.0009223335,0.1228712236,0.0005272030,0.1934212631,0.0002264722,0.2030637824,0.0004672121,0.1344400516,0.0002029079,0.6153429622,0.0005435992,800,96
