ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
minus_stale_memory_downweight,5,0.6828125000,0.0122138730,0.6925003787,0.0134910163,0.6002583750,0.0017144660,0.1391722210,0.0018652580,0.5741656898,0.0026795209,0.0720351305,0.0014323277,0.2290682500,0.0006900604,0.1313766675,0.0014551428,0.0755709155,0.0006323153,0.6685039367,0.0017094887,80,96
minus_stale_memory_downweight,6,0.6743489583,0.0126689569,0.6841955926,0.0139050405,0.6005990125,0.0016611700,0.1386601585,0.0019366999,0.5745172495,0.0027225824,0.0722135798,0.0014898392,0.2292456896,0.0006536464,0.1315299466,0.0014073391,0.0757897475,0.0006352543,0.6686525115,0.0016794767,80,96
minus_stale_memory_downweight,7,0.6751302083,0.0122849135,0.6849448887,0.0133930532,0.6002393000,0.0016116948,0.1388984710,0.0018838517,0.5750176335,0.0026702846,0.0722781492,0.0015196287,0.2292186646,0.0006102880,0.1314141638,0.0013721609,0.0754953230,0.0007117546,0.6684999357,0.0016338332,80,96
minus_stale_memory_downweight,8,0.6766927083,0.0113955883,0.6867867024,0.0125084014,0.6004048500,0.0014912321,0.1386365335,0.0017996903,0.5746600888,0.0029024420,0.0718434136,0.0014690964,0.2291807021,0.0005770021,0.1315914624,0.0013821533,0.0755680820,0.0006963576,0.6686194960,0.0015621985,80,96
minus_stale_memory_downweight,9,0.6873697917,0.0122332641,0.6975115668,0.0132849997,0.6005704000,0.0015338122,0.1388748460,0.0017478950,0.5746352104,0.0030720582,0.0715797830,0.0014956161,0.2290151354,0.0006190802,0.1318853343,0.0014393381,0.0754987700,0.0006358327,0.6682087912,0.0014939857,80,96
top1_only_retrieval,0,0.6485677083,0.0127778171,0.6459108864,0.0139978342,0.5832226750,0.0016665158,0.1563441277,0.0018452208,0.5557631230,0.0029447700,0.0766890952,0.0015101889,0.2064835521,0.0006131556,0.1410617495,0.0014593102,0.0811549285,0.0006541885,0.6186243663,0.0015507193,80,96
top1_only_retrieval,1,0.6661458333,0.0126384972,0.6635620095,0.0139000734,0.5833182250,0.0016570739,0.1565324402,0.0018361313,0.5551447321,0.0029768269,0.0764178208,0.0015125422,0.2063414458,0.0006416385,0.1407237546,0.0013667326,0.0810548165,0.0006626653,0.6187713616,0.0016126290,80,96
top1_only_retrieval,2,0.6565104167,0.0117463233,0.6537466706,0.0130467251,0.5832386875,0.0016561702,0.1563455652,0.0017917506,0.5550647352,0.0029548831,0.0766101271,0.0015304831,0.2064302542,0.0006343350,0.1410595352,0.0013569301,0.0809487015,0.0006856488,0.6181264611,0.0016901132,80,96
top1_only_retrieval,3,0.6540364583,0.0123095854,0.6513208573,0.0134570199,0.5831591500,0.0016793336,0.1560336277,0.0016887729,0.5549891155,0.0029158234,0.0766647727,0.0015489951,0.2064938396,0.0006145368,0.1410894592,0.0013723895,0.0809156230,0.0006692660,0.6180893643,0.0017044107,80,96
top1_only_retrieval,4,0.6473958333,0.0128363013,0.6446149275,0.0143422714,0.5827294375,0.0016621274,0.1560968777,0.0017657451,0.5552505393,0.0029846352,0.0768206814,0.0015196201,0.2065407208,0.0005971149,0.1408300498,0.0014283999,0.0809635850,0.0006828778,0.6182018423,0.0017148496,80,96
top1_only_retrieval,5,0.6602864583,0.0122709466,0.6581928232,0.0137097717,0.5830000750,0.0015998578,0.1556598777,0.0016958335,0.5558796468,0.0029472272,0.0763648977,0.0015114066,0.2063141646,0.0006218233,0.1410417609,0.0014100986,0.0807033930,0.0006642415,0.6182002633,0.0017397683,80,96
top1_only_retrieval,6,0.6489583333,0.0108497836,0.6468120754,0.0122718266,0.5830956250,0.0016253285,0.1555980652,0.0017935620,0.5561454477,0.0028864509,0.0765964271,0.0014440495,0.2064266708,0.0006172514,0.1409767449,0.0014154108,0.0806743165,0.0006211421,0.6178620161,0.0018222587,80,96
top1_only_retrieval,7,0.6587239583,0.0127958704,0.6567581031,0.0140634997,0.5831911750,0.0016831508,0.1556613152,0.0018203503,0.5562317840,0.0028661472,0.0763069483,0.0015212995,0.2064689771,0.0006762908,0.1409205871,0.0013640976,0.0807973160,0.0006070103,0.6182166151,0.0018120221,80,96
top1_only_retrieval,8,0.6610677083,0.0117517616,0.6593880891,0.0129521420,0.5834618125,0.0016805296,0.1557245652,0.0018820514,0.5568433827,0.0028291646,0.0760009883,0.0014445758,0.2064651146,0.0007115839,0.1411551245,0.0013606052,0.0806201655,0.0006611280,0.6179849211,0.0018381057,80,96
top1_only_retrieval,9,0.6559895833,0.0126493212,0.6538924155,0.0137019445,0.5837324500,0.0016815402,0.1561630027,0.0018863820,0.5567414999,0.0028573602,0.0763051102,0.0014463010,0.2066401958,0.0006677717,0.1411192381,0.0014178137,0.0807491680,0.0006732050,0.6176306658,0.0017090417,80,96
